center_id,descripcio_servei,nom,adreça,titularitat,temps_mitja_espera,places_publiques,places_privades,places_totals
9353,Residència assistida per a gent gran - temporal o permanent,Residència Canigó,"C. Menorca, 16 08630 Abrera,Baix Llobregat","Canigó serveis geriàtrics, SL",10 mesos,60,19,79
9354,Residència assistida per a gent gran - temporal o permanent,Residència Germans Aymar i Puig,"Av. Germans Aymar i Puig, 9 08328 Alella,Maresme","Germans Aymar i Puig, Fundació Privada",4 anys,30,88,118
9355,Residència assistida per a gent gran - temporal o permanent,Residencia Geriàtrica els Rosers,"Av. dels Rosers, 40 08328 Alella,Maresme","Lantus, SL",2 anys i 2 mesos,9,26,35
9357,Residència assistida per a gent gran - temporal o permanent,Residència Francesca Roig (servei de residència assistida),"C. Camí de Sant Nicolau, 6 08480 Ametlla del Vallès, l',Vallès Oriental",Fundació Antònia Roura Barbany,2 anys i 3 mesos,27,30,57
9358,Residència assistida per a gent gran - temporal o permanent,Residència Millet,"C. Camí de Puiggraciós, 1 08480 Ametlla del Vallès, l',Vallès Oriental","Millet Park, SL",1 any,28,18,46
9359,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Ametlla del Vallès,"Ctr. de Llerona, s/n (Finca Can Focs) 08480 Ametlla del Vallès, l',Vallès Oriental",Generalitat de Catalunya,8 mesos,32,,
9360,Residència assistida per a gent gran - temporal o permanent,Residència Millet Park,"C. Camí de Puiggraciós, 1 08480 Ametlla del Vallès, l',Vallès Oriental","Millet Park, SL",,,46,
9361,Residència assistida per a gent gran - temporal o permanent,Can Camp Residencial,"C. Mimosa, 10 08480 Ametlla del Vallès, l',Vallès Oriental","Can Camp Residencial, SL",,,50,
9362,Residència assistida per a gent gran - temporal o permanent,Asil Torrent,"C. Riera Pare Fita, 67 08350 Arenys de Mar,Maresme",Sistemas Residenciales S.A.,5 mesos,87,11,98
9363,Residència assistida per a gent gran - temporal o permanent,Residència Geriàtrica del Sagrat Cor,"C. Sant Narcís, 29 08350 Arenys de Mar,Maresme",Ajuntament d'Arenys de Mar,7 mesos,34,11,45
9364,Residència assistida per a gent gran - temporal o permanent,Residencia Hotel Impala,"Urb. Montmar, s/n 08350 Arenys de Mar,Maresme",Sistemas Residenciales S.A.,3 mesos,91,5,96
