center_id,descripcio_servei,nom,adreça,titularitat,temps_mitja_espera,places_publiques,places_privades,places_totals
9353,Residència assistida per a gent gran - temporal o permanent,Residència Canigó,"C. Menorca, 16","Canigó serveis geriàtrics, SL",10 mesosinfo,60,19,79
9354,Residència assistida per a gent gran - temporal o permanent,Residència Germans Aymar i Puig,"Av. Germans Aymar i Puig, 9","Germans Aymar i Puig, Fundació Privada",4 anys info,30,88,118
9355,Residència assistida per a gent gran - temporal o permanent,Residencia Geriàtrica els Rosers,"Av. dels Rosers, 40","Lantus, SL",2 anys i 2 mesosinfo,9,26,35
9357,Residència assistida per a gent gran - temporal o permanent,Residència Francesca Roig (servei de residència assistida),"C. Camí de Sant Nicolau, 6",Fundació Antònia Roura Barbany,2 anys i 3 mesosinfo,27,30,57
9358,Residència assistida per a gent gran - temporal o permanent,Residència Millet,"C. Camí de Puiggraciós, 1","Millet Park, SL",1 anyinfo,28,18,46
9360,Residència assistida per a gent gran - temporal o permanent,Residència Millet Park,"C. Camí de Puiggraciós, 1","Millet Park, SL",,,46,
9361,Residència assistida per a gent gran - temporal o permanent,Can Camp Residencial,"C. Mimosa, 10","Can Camp Residencial, SL",,,50,
9364,Residència assistida per a gent gran - temporal o permanent,Residencia Hotel Impala,"Urb. Montmar, s/n",Sistemas Residenciales S.A.,3 mesosinfo,91,5,96
9365,Residència assistida per a gent gran - temporal o permanent,Lantus Arenys Vil·la Betània,"C. Sant Rafael, 33","Grup Lantus, SL",info,10,40,50
9366,Residència assistida per a gent gran - temporal o permanent,Residència Geriàtrica Titus,"Ctr. N-II, Km 655",Sistemas Residenciales S.A.,4 mesosinfo,80,6,86
9367,Residència assistida per a gent gran - temporal o permanent,Residència Itaca-Arenys (servei de residència assistida),"C. Pompeu i Fabra, 48","Cal-Tei, SL",6 mesosinfo,67,18,85
9368,Residència assistida per a gent gran - temporal o permanent,Residència Nostra Senyora del Remei,"C. Nou, 2",Fundació privada residència geriàtrica Nostra Senyora del Remei,9 mesosinfo,24,16,40
9369,Residència assistida per a gent gran - temporal o permanent,Residència Sant Martí,"Rbl. Francesc Macià, 1",Fundació Privada Vella Terra,4 mesosinfo,97,-3,94
9370,Residència assistida per a gent gran - temporal o permanent,Llar d'Argentona,"Psg. de la Soleia, 7","Llar d'Argentona, S.L.",3 mesosinfo,29,1,30
9371,Residència assistida per a gent gran - temporal o permanent,Residència Tercera Edat Santa Berta,"C. Francesc Macià, 39 (Urb. Les Ginesteres)","Residència tercera edat Santa Berta, SL",4 mesosinfo,24,,
9372,Residència assistida per a gent gran - temporal o permanent,Residència Bonavista,"C. Bellavista, 9","Laia Arquera, SL",,,24,
9374,Residència assistida per a gent gran - temporal o permanent,Fundació Patronat de la Vila d'Artés - Residència assistida,"C. Hospital, s/n",Fundació Patronat de la Vila d'Artés,2 anysinfo,45,69,114
9375,Residència assistida per a gent gran - temporal o permanent,Residència Sant Victor,"C. Sant Victor, s/n","Residència Aldama, SL",6 mesosinfo,47,7,54
9376,Residència assistida per a gent gran - temporal o permanent,Residència assistida Relat,"C. Santiago Rusiñol, s/n","Centre residencial del Bages, SL",9 mesosinfo,68,14,82
9377,Residència assistida per a gent gran - temporal o permanent,Residència per a la 3a Edat la Font,"C. Enamorats, 1","Residència la Font dels Enamorats, SL",4 mesosinfo,44,10,54
9378,Residència assistida per a gent gran - temporal o permanent,Residència Can Caló,"C. Major, 11","Can Caló, SLL",1 any i 2 mesosinfo,12,31,43
9379,Residència assistida per a gent gran - temporal o permanent,Residència Llegat Roca i Pi,"Av. Martí Pujol, 654",Fundació Privada Llegat Roca i Pi,2 anysinfo,104,30,134
9380,Residència assistida per a gent gran - temporal o permanent,Llar d'Avis Can Bosch,"c. Soletat, 5",Institut Municipal de Serveis Personals de Badalona,2 anys i 2 mesosinfo,20,,
9381,Residència assistida per a gent gran - temporal o permanent,Residència Danae,"C. Santa Maria, 178","Reslaki, SL",3 anys i 6 mesosinfo,8,65,73
9382,Residència assistida per a gent gran - temporal o permanent,Residència Ballesol - Badalona,"Av. Navarra, 2-4","Intercentros Ballesol, SA",1 any i 5 mesosinfo,74,86,160
9383,Residència assistida per a gent gran - temporal o permanent,Residència Domènech i Montaner,"C. Bellavista, 24-30",Institut Municipal de Serveis Personals de Badalona,8 mesosinfo,80,,
9384,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Berllor,"Pge. Marconi, 10-12","Berllor, S.L.",8 mesosinfo,58,3,61
9385,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Parc Serentill,"C. Molí de la Torre, 62-72",Generalitat de Catalunya,2 anys i 4 mesosinfo,56,,
9386,Residència assistida per a gent gran - temporal o permanent,Residencia Merán,"Pge. Riu Mogent, 1","Residencia Merán, SA",3 anys i 3 mesosinfo,28,22,50
9387,Residència assistida per a gent gran - temporal o permanent,Residència Martal,"C. Marià Benlliure, 14","Llar Tercera Edat Martal, SL",6 mesosinfo,42,,
9388,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Sant Roc,"Av. del Maresme, 182-190",Generalitat de Catalunya,2 anysinfo,40,,
9389,Residència assistida per a gent gran - temporal o permanent,Colisée Bagá,"C. Pere Tomic, 9","La Saleta Care, SL",4 mesosinfo,53,24,77
9390,Residència assistida per a gent gran - temporal o permanent,Casal Oller,"C. Major, 93",Obra Religiosa Social - O.R.S.,,,50,
9391,Residència assistida per a gent gran - temporal o permanent,Casal Verge de Montserrat (servei de residència assistida),"Pça. Roc Garcia, s/n",Fundació Privada Casal de Verge de Montserrat,2 anys i 1 mesinfo,31,37,68
9392,Residència assistida per a gent gran - temporal o permanent,Residència Santa Rita,"C. Dr. Dou, 12, ent 2ª","Ajut, S.C.P.",4 mesosinfo,21,3,24
9393,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran El Mil·lenari,"C. Nou de la Rambla, 47-49",Generalitat de Catalunya,1 any i 8 mesosinfo,62,,
